UDI,Date,System,Control,Product ID,Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Diagnostic
4694,29/06/2017 20:32,55,B,M19553,M,,,1817,24.7,,No failure
4695,30/06/2017 19:43,55,C,L51874,L,,,,50.8,128,No failure
4696,05/09/2017 20:33,55,C,L51875,L,,,,34.7,130,No failure
4697,04/09/2017 04:47,55,C,L51876,L,,,,41.7,132,No failure
4698,06/09/2017 10:00,55,A,M19557,M,303.5,311.6,1573,,,No failure
4699,10/09/2017 00:42,55,C,L51878,L,,,,41.9,137,No failure
4700,08/09/2017 14:24,55,A,L51879,L,303.5,311.6,1428,,,No failure
4701,26/12/2017 08:28,55,C,L51880,L,,,,31,141,No failure
4702,24/12/2017 17:50,55,A,H34115,H,303.5,311.7,1584,,,No failure
4703,07/04/2018 06:50,55,A,L51882,L,303.6,311.8,1222,,,Heat Dissipation Failure
4704,07/04/2018 01:37,55,C,M19563,M,,,,42.5,150,No failure
4705,04/04/2018 10:20,55,A,L51884,L,303.7,311.9,1561,,,No failure
4706,14/06/2018 03:22,55,C,L51885,L,,,,33.2,155,No failure
4707,15/06/2018 10:14,55,B,L51886,L,,,1959,22.3,,No failure
4708,17/06/2018 17:34,55,A,L51887,L,303.5,311.8,1944,,,No failure
4709,16/06/2018 10:54,55,B,L51888,L,,,1793,25.8,,No failure
4710,07/10/2018 14:02,55,C,M19569,M,,,,50,163,No failure
4711,03/10/2018 07:56,55,B,L51890,L,,,1673,32.2,,No failure
4712,05/10/2018 06:54,55,A,M19571,M,303.4,311.7,1515,,,No failure
4713,04/10/2018 19:06,55,A,L51892,L,303.4,311.8,1564,,,No failure
4714,06/10/2018 14:01,55,C,L51893,L,,,,45.2,173,No failure
4715,09/01/2019 04:52,55,C,H34128,H,,,,28.3,175,No failure
4716,17/03/2019 23:05,55,A,L51895,L,303.4,311.7,1476,,,No failure
4717,17/03/2019 15:29,55,A,L51896,L,303.4,311.6,1712,,,No failure
4718,14/03/2019 17:14,55,A,M19577,M,303.4,311.6,1425,,,No failure
4719,16/03/2019 05:35,55,A,L51898,L,303.3,311.6,1337,,,Heat Dissipation Failure
4720,14/03/2019 17:31,55,C,M19579,M,,,,34.9,189,No failure
4721,15/06/2019 13:39,55,A,M19580,M,303.4,311.7,1353,,,Heat Dissipation Failure
4722,15/06/2019 16:28,55,C,L51901,L,,,,21.9,195,No failure
4723,15/06/2019 13:22,55,A,M19582,M,303.4,311.8,1391,,,No failure
4724,28/08/2019 08:23,55,A,L51903,L,303.4,311.8,1366,,,Heat Dissipation Failure
4725,29/08/2019 03:40,55,A,L51904,L,303.4,311.9,1771,,,No failure
4726,23/11/2019 14:14,55,A,M19585,M,303.4,311.8,1515,,,No failure
4727,23/11/2019 21:15,55,C,M19586,M,,,,18.3,207,No failure
4728,24/11/2019 17:38,55,A,M19587,M,303.4,311.8,1341,,,Heat Dissipation Failure
4729,23/11/2019 10:07,55,C,L51908,L,,,,47.1,213,No failure
4730,02/02/2020 18:45,55,C,L51909,L,,,,61,215,Overstrain Failure
4731,02/02/2020 01:11,55,A,L51910,L,303.3,311.7,1508,,,No failure
4732,05/02/2020 23:23,55,A,L51911,L,303.3,311.6,1301,,,Heat Dissipation Failure
4733,02/02/2020 06:37,55,A,L51912,L,303.3,311.7,1539,,,No failure
4734,29/04/2020 13:53,55,C,L51913,L,,,,44.6,223,No failure
4735,26/04/2020 22:48,55,B,L51914,L,,,1507,39.2,,No failure
4736,25/07/2020 00:19,55,B,L51915,L,,,1544,42.5,,No failure
4737,23/04/2014 19:00,56,A,L51916,L,303.2,311.5,1513,,,No failure
4738,21/04/2014 07:32,56,A,M19597,M,303.2,311.5,1336,,,Heat Dissipation Failure
4739,29/07/2014 23:10,56,C,M19598,M,,,,19,5,No failure
4740,30/07/2014 06:09,56,A,L51919,L,303.2,311.4,1351,,,Heat Dissipation Failure
4741,31/07/2014 14:15,56,C,L51920,L,,,,35.2,10,No failure
4742,01/08/2014 04:51,56,A,L51921,L,303.2,311.3,1393,,,No failure
4743,27/10/2014 22:17,56,A,L51922,L,303.3,311.3,1592,,,No failure
4744,31/10/2014 02:04,56,A,L51923,L,303.3,311.3,1409,,,No failure
4745,09/01/2015 10:41,56,B,L51924,L,,,1393,47.4,,No failure
4746,11/01/2015 08:26,56,A,H34159,H,303.2,311.2,1475,,,No failure
4747,10/01/2015 00:41,56,B,L51926,L,,,1427,45.6,,No failure
4748,08/01/2015 08:57,56,C,L51927,L,,,,27.3,27,No failure
4749,20/03/2015 11:07,56,A,L51928,L,303.2,311.2,1363,,,Heat Dissipation Failure
4750,18/03/2015 20:39,56,C,L51929,L,,,,50.9,31,No failure
4751,20/03/2015 18:53,56,A,M19610,M,303.2,311.2,1688,,,No failure
4752,19/03/2015 15:45,56,B,L51931,L,,,1510,37.3,,No failure
4753,02/06/2015 20:10,56,A,H34166,H,303.3,311.3,1502,,,No failure
4754,04/06/2015 16:33,56,C,H34167,H,,,,36.6,43,No failure
4755,03/06/2015 18:42,56,B,M19614,M,,,1384,54.8,,No failure
4756,05/09/2015 10:25,56,A,L51935,L,303.4,311.7,1295,,,Heat Dissipation Failure
4757,02/09/2015 13:30,56,B,H34170,H,,,1991,19,,No failure
4758,03/09/2015 16:06,56,A,L51937,L,303.4,311.6,1497,,,No failure
4759,05/09/2015 09:05,56,B,L51938,L,,,1465,48.7,,No failure
4760,04/09/2015 14:11,56,A,L51939,L,303.5,311.6,1361,,,Heat Dissipation Failure
4761,23/12/2015 15:11,56,C,L51940,L,,,,38.5,64,No failure
4762,21/12/2015 18:56,56,A,H34175,H,303.7,311.9,1332,,,Heat Dissipation Failure
4763,14/03/2016 11:10,56,B,M19622,M,,,2663,11.4,,Power Failure
4764,01/07/2016 00:04,56,C,L51943,L,,,,45.9,74,No failure
4765,01/07/2016 17:42,56,A,M19624,M,303.7,312,1402,,,No failure
4766,04/07/2016 01:55,56,C,L51945,L,,,,22.5,79,No failure
4767,02/07/2016 03:50,56,B,M19626,M,,,1645,35.7,,No failure
4768,25/10/2016 04:20,56,A,L51947,L,303.6,311.9,1473,,,No failure
4769,23/10/2016 12:47,56,A,L51948,L,303.6,312,1309,,,Heat Dissipation Failure
4770,22/10/2016 05:08,56,A,H34183,H,303.6,311.9,1544,,,No failure
4771,05/01/2017 08:19,56,A,L51950,L,303.5,311.9,1344,,,Heat Dissipation Failure
4772,03/01/2017 05:44,56,C,M19631,M,,,,36,95,No failure
4773,02/01/2017 10:24,56,C,M19632,M,,,,37.9,98,No failure
4774,02/01/2017 20:34,56,C,L51953,L,,,,50.3,101,No failure
4775,02/01/2017 20:56,56,A,L51954,L,303.6,312,1827,,,No failure
4776,20/03/2017 14:54,56,A,L51955,L,303.5,312,1761,,,No failure
4777,21/03/2017 16:09,56,A,L51956,L,303.5,312.1,1522,,,No failure
4778,19/03/2017 17:55,56,A,M19637,M,303.5,312.2,1818,,,No failure
4779,21/06/2017 18:50,56,A,H34192,H,303.6,312.2,1371,,,Heat Dissipation Failure
4780,23/06/2017 23:48,56,C,L51959,L,,,,38.9,117,No failure
4781,20/06/2017 03:48,56,A,L51960,L,303.7,312.4,1404,,,No failure
4782,22/06/2017 10:45,56,B,L51961,L,,,1384,45.9,,No failure
4783,18/06/2017 19:11,56,C,L51962,L,,,,52.6,123,No failure
4784,31/08/2017 20:06,56,A,L51963,L,303.7,312.5,1641,,,No failure
4785,26/11/2017 22:01,56,B,L51964,L,,,1642,32.3,,No failure
4786,30/11/2017 13:07,56,C,H34199,H,,,,50,129,No failure
4787,22/03/2018 00:40,56,C,L51966,L,,,,41.3,134,No failure
4788,22/03/2018 10:45,56,C,L51967,L,,,,44.1,136,No failure
4789,20/03/2018 08:44,56,A,H34202,H,303.7,312.6,1514,,,No failure
4790,21/03/2018 17:56,56,A,L51969,L,303.8,312.8,1646,,,No failure
4791,24/03/2018 11:02,56,B,L51970,L,,,1443,40.7,,No failure
4792,03/07/2018 07:01,56,A,M19651,M,303.7,312.7,1469,,,No failure
4793,02/07/2018 05:56,56,A,H34206,H,303.7,312.7,1564,,,No failure
4794,02/07/2018 20:38,56,B,H34207,H,,,1498,40.2,,No failure
4795,22/10/2018 00:51,56,C,L51974,L,,,,27.9,160,No failure
4796,19/10/2018 16:26,56,B,L51975,L,,,1431,49,,No failure
4797,19/10/2018 11:02,56,A,L51976,L,303.5,312.4,1390,,,No failure
4798,27/12/2018 01:45,56,A,L51977,L,303.5,312.5,1380,,,No failure
4799,26/12/2018 07:49,56,C,L51978,L,,,,46.4,168,No failure
4800,27/12/2018 18:04,56,C,L51979,L,,,,42.2,170,No failure
4801,23/12/2018 04:18,56,B,M19660,M,,,1353,51,,No failure
4802,31/03/2019 20:12,56,B,L51981,L,,,1574,32.7,,No failure
4803,02/04/2019 23:26,56,B,M19662,M,,,1318,54.2,,No failure
4804,30/06/2019 02:37,56,A,L51983,L,303.6,312.5,1710,,,No failure
4805,03/07/2019 20:03,56,A,L51984,L,303.7,312.6,1621,,,No failure
4806,03/07/2019 20:51,56,B,L51985,L,,,1606,33.6,,No failure
4807,03/07/2019 03:05,56,B,H34220,H,,,1375,54,,No failure
4808,12/09/2019 12:02,56,B,L51987,L,,,1503,36.5,,No failure
4809,22/12/2019 03:08,56,C,L51988,L,,,,48.6,193,No failure
4810,22/12/2019 07:34,56,A,L51989,L,303.4,312.2,1656,,,No failure
4811,23/12/2019 14:50,56,B,M19670,M,,,1499,39.4,,No failure
4812,24/12/2019 19:56,56,C,M19671,M,,,,28.4,200,No failure
4813,25/12/2019 00:51,56,A,L51992,L,303.4,311.9,1531,,,No failure
4814,17/04/2020 13:22,56,A,M19673,M,303.3,311.8,1536,,,No failure
4815,15/07/2020 07:11,56,C,L51994,L,,,,53,208,Overstrain Failure
4816,14/07/2020 21:18,56,A,H34229,H,303.4,311.9,1534,,,No failure
4817,18/07/2020 17:28,56,C,L51996,L,,,,35.9,215,Tool Wear Failure
4818,11/03/2014 18:32,57,C,L51997,L,,,,30.8,0,No failure
4819,08/03/2014 20:08,57,C,M19678,M,,,,20.9,2,No failure
4820,18/06/2014 23:54,57,A,L51999,L,303.6,312.2,1696,,,No failure
4821,14/06/2014 12:35,57,A,M19680,M,303.6,312.1,1627,,,No failure
4822,15/06/2014 23:40,57,A,L52001,L,303.5,311.9,1405,,,No failure
4823,26/08/2014 07:19,57,C,L52002,L,,,,38.9,12,No failure
4824,28/08/2014 03:25,57,B,L52003,L,,,1493,38.7,,No failure
4825,27/08/2014 10:16,57,A,L52004,L,303.4,311.8,1499,,,No failure
4826,28/08/2014 08:26,57,A,L52005,L,303.3,311.8,1692,,,No failure
4827,13/12/2014 11:24,57,A,L52006,L,303.4,311.8,2268,,,No failure
4828,21/03/2015 21:47,57,B,L52007,L,,,1438,58.9,,No failure
4829,18/03/2015 21:38,57,B,L52008,L,,,1515,39.2,,No failure
4830,21/03/2015 22:34,57,A,L52009,L,303.4,311.9,1491,,,No failure
4831,03/07/2015 08:59,57,C,L52010,L,,,,29.7,28,No failure
4832,06/07/2015 21:54,57,A,L52011,L,303.5,312,1366,,,Heat Dissipation Failure
4833,04/07/2015 18:40,57,B,L52012,L,,,1436,45.1,,No failure
4834,08/07/2015 03:57,57,A,L52013,L,303.4,311.9,1377,,,Heat Dissipation Failure
4835,05/10/2015 13:29,57,B,M19694,M,,,1510,42.2,,No failure
4836,01/10/2015 00:26,57,B,M19695,M,,,1419,50.9,,No failure
4837,02/10/2015 03:27,57,A,L52016,L,303.3,311.8,1315,,,Heat Dissipation Failure
4838,14/12/2015 14:37,57,B,H34251,H,,,1806,27.7,,No failure
4839,13/04/2016 20:50,57,B,H34252,H,,,1649,29.4,,No failure
4840,10/07/2016 01:12,57,A,H34253,H,303.4,311.9,1402,,,No failure
4841,05/07/2016 06:37,57,A,L52020,L,303.4,311.9,1298,,,Heat Dissipation Failure
4842,04/07/2016 23:55,57,C,M19701,M,,,,44.9,61,No failure
4843,01/10/2016 22:18,57,A,M19702,M,303.3,311.8,1489,,,No failure
4844,02/10/2016 10:07,57,B,L52023,L,,,1842,24.5,,No failure
4845,16/12/2016 16:08,57,A,M19704,M,303.4,311.8,1316,,,Heat Dissipation Failure
4846,15/12/2016 10:52,57,A,M19705,M,303.3,311.8,1583,,,No failure
4847,15/12/2016 01:34,57,A,M19706,M,303.3,311.8,1548,,,No failure
4848,13/12/2016 22:26,57,C,L52027,L,,,,44.6,78,No failure
4849,04/03/2017 20:27,57,C,H34262,H,,,,52.9,80,No failure
4850,13/05/2017 09:04,57,C,M19709,M,,,,42.9,85,No failure
4851,16/05/2017 09:12,57,C,L52030,L,,,,56.8,88,No failure
4852,17/05/2017 05:47,57,A,L52031,L,303.7,312.1,1363,,,Heat Dissipation Failure
4853,19/05/2017 03:41,57,C,L52032,L,,,,34.9,92,No failure
4854,28/08/2017 23:33,57,B,L52033,L,,,1487,34,,No failure
4855,26/08/2017 05:27,57,A,L52034,L,303.7,312.2,1568,,,No failure
4856,26/08/2017 10:14,57,B,L52035,L,,,1375,46.2,,No failure
4857,26/08/2017 02:48,57,C,M19716,M,,,,31.3,100,No failure
4858,29/08/2017 16:18,57,A,L52037,L,303.7,312.3,1606,,,No failure
4859,03/12/2017 13:57,57,B,L52038,L,,,1349,51,,No failure
4860,05/12/2017 19:20,57,C,L52039,L,,,,38.6,107,No failure
4861,03/12/2017 19:53,57,A,M19720,M,303.6,312.4,1504,,,No failure
4862,06/12/2017 10:07,57,B,L52041,L,,,1946,21.1,,No failure
4863,04/03/2018 16:07,57,C,L52042,L,,,,55.7,114,No failure
4864,06/03/2018 13:14,57,C,M19723,M,,,,22.3,116,No failure
4865,24/06/2018 16:36,57,B,L52044,L,,,1451,43.4,,No failure
4866,10/09/2018 16:39,57,C,M19725,M,,,,34.8,121,No failure
4867,14/09/2018 04:33,57,C,L52046,L,,,,28.7,124,No failure
4868,13/09/2018 10:18,57,A,L52047,L,303.6,312.5,1345,,,No failure
4869,10/09/2018 18:17,57,A,L52048,L,303.6,312.4,1418,,,No failure
4870,14/11/2018 20:34,57,A,L52049,L,303.7,312.4,1718,,,No failure
4871,15/11/2018 23:28,57,A,M19730,M,303.7,312.4,1631,,,No failure
4872,14/11/2018 22:31,57,A,L52051,L,303.7,312.4,1513,,,No failure
4873,15/11/2018 19:35,57,C,L52052,L,,,,59.3,137,No failure
4874,12/11/2018 21:20,57,C,M19733,M,,,,38.8,139,No failure
4875,17/01/2019 05:30,57,A,L52054,L,303.8,312.5,1619,,,No failure
4876,03/05/2019 08:00,57,A,L52055,L,303.7,312.4,1702,,,No failure
4877,05/05/2019 22:58,57,B,M19736,M,,,1540,37.4,,No failure
4878,04/05/2019 16:33,57,C,M19737,M,,,,33.7,149,No failure
4879,26/08/2019 22:13,57,B,L52058,L,,,1348,51,,No failure
4880,27/08/2019 01:28,57,C,H34293,H,,,,35.6,154,No failure
4881,23/08/2019 00:25,57,A,M19740,M,303.8,312.6,1527,,,No failure
4882,24/08/2019 20:27,57,B,M19741,M,,,1406,47.1,,No failure
4883,18/12/2019 17:33,57,A,L52062,L,303.7,312.5,1462,,,No failure
4884,18/12/2019 10:34,57,C,M19743,M,,,,29.3,167,No failure
4885,18/12/2019 08:44,57,C,H34298,H,,,,28,170,No failure
4886,15/12/2019 08:56,57,A,H34299,H,303.8,312.5,1748,,,No failure
4887,18/12/2019 16:26,57,C,L52066,L,,,,45.7,180,No failure
4888,06/03/2020 02:04,57,A,L52067,L,303.7,312.5,1481,,,No failure
4889,14/06/2020 19:54,57,A,L52068,L,303.7,312.4,1512,,,No failure
4890,30/09/2020 14:39,57,C,L52069,L,,,,36.6,186,No failure
4891,04/10/2020 13:38,57,A,L52070,L,303.7,312.4,1525,,,No failure
4892,04/10/2020 18:03,57,A,M19751,M,303.7,312.3,1756,,,No failure
4893,04/10/2020 08:16,57,A,L52072,L,303.7,312.3,1922,,,No failure
4894,04/02/2021 18:59,57,A,M19753,M,303.8,312.5,1448,,,No failure
4895,31/01/2021 22:58,57,A,H34308,H,303.8,312.5,1447,,,No failure
4896,04/02/2021 22:32,57,C,M19755,M,,,,33.4,203,No failure
4897,30/05/2021 10:44,57,C,M19756,M,,,,32.3,206,No failure
4898,05/09/2021 03:56,57,A,H34311,H,303.8,312.5,1525,,,No failure
4899,05/09/2021 18:20,57,A,H34312,H,303.6,312.4,1460,,,No failure
4900,06/09/2021 23:45,57,B,L52079,L,,,2168,17.7,,No failure
4901,27/11/2021 20:57,57,B,L52080,L,,,1388,41.9,,No failure
4902,26/11/2021 04:01,57,B,M19761,M,,,1630,32.4,,No failure
4903,25/11/2021 05:37,57,B,L52082,L,,,1616,29.3,,No failure
4904,15/04/2014 22:41,58,C,L52083,L,,,,16.8,0,No failure
4905,14/04/2014 14:22,58,C,H34318,H,,,,50.7,2,No failure
4906,16/04/2014 20:09,58,C,L52085,L,,,,53.1,7,No failure
4907,12/04/2014 00:38,58,B,H34320,H,,,1436,45.6,,No failure
4908,08/08/2014 23:29,58,A,M19767,M,303.6,312.5,1607,,,No failure
4909,11/08/2014 17:29,58,C,M19768,M,,,,48.2,17,No failure
4910,10/08/2014 13:20,58,B,L52089,L,,,1481,43.7,,No failure
4911,07/08/2014 12:24,58,B,M19770,M,,,1606,31.7,,No failure
4912,11/08/2014 18:13,58,C,L52091,L,,,,29.8,25,No failure
4913,23/10/2014 14:19,58,B,L52092,L,,,1511,37.1,,No failure
4914,13/01/2015 22:09,58,C,M19773,M,,,,35.2,29,No failure
4915,13/01/2015 07:35,58,C,M19774,M,,,,41.7,32,No failure
4916,11/01/2015 09:03,58,C,H34329,H,,,,49,35,No failure
4917,13/01/2015 03:19,58,B,H34330,H,,,1769,27.9,,No failure
4918,16/01/2015 06:47,58,C,M19777,M,,,,38.2,45,No failure
4919,10/04/2015 16:04,58,A,L52098,L,303.3,312.2,1457,,,No failure
4920,30/07/2015 18:31,58,A,L52099,L,303.3,312.2,1506,,,No failure
4921,04/08/2015 13:29,58,B,L52100,L,,,1337,69.4,,Power Failure
4922,01/08/2015 09:36,58,C,L52101,L,,,,54.8,54,No failure
4923,03/08/2015 09:12,58,A,M19782,M,303.4,312.2,1615,,,No failure
4924,03/08/2015 15:56,58,C,M19783,M,,,,23.5,59,No failure
4925,04/10/2015 02:42,58,C,H34338,H,,,,42.1,62,No failure
4926,01/10/2015 11:48,58,C,L52105,L,,,,30.6,67,No failure
4927,04/10/2015 05:13,58,B,L52106,L,,,1502,36,,No failure
4928,01/10/2015 18:36,58,C,M19787,M,,,,33.3,71,No failure
4929,29/01/2016 07:45,58,B,L52108,L,,,1584,35.2,,No failure
4930,01/02/2016 15:52,58,A,L52109,L,303.5,312.4,1340,,,No failure
4931,30/01/2016 05:59,58,C,L52110,L,,,,33.9,78,No failure
4932,01/02/2016 20:57,58,B,M19791,M,,,1693,30,,No failure
4933,31/01/2016 03:47,58,B,L52112,L,,,1418,44.7,,No failure
4934,24/05/2016 10:54,58,A,H34347,H,303.4,312.2,1554,,,No failure
4935,25/05/2016 10:25,58,B,L52114,L,,,1580,35.8,,No failure
4936,23/05/2016 01:05,58,C,L52115,L,,,,42.8,92,No failure
4937,22/05/2016 21:32,58,B,L52116,L,,,1284,70.6,,Power Failure
4938,25/05/2016 18:06,58,B,L52117,L,,,1540,38.7,,No failure
4939,12/08/2016 20:59,58,C,M19798,M,,,,30.1,98,No failure
4940,15/08/2016 10:21,58,B,L52119,L,,,1286,62.4,,No failure
4941,14/08/2016 23:06,58,C,L52120,L,,,,39.5,103,No failure
4942,17/08/2016 02:15,58,C,M19801,M,,,,31.5,105,No failure
4943,16/10/2016 21:43,58,C,L52122,L,,,,34.2,108,No failure
4944,17/10/2016 06:58,58,A,H34357,H,303.6,312.6,1436,,,No failure
4945,17/12/2016 17:09,58,A,M19804,M,303.6,312.7,1765,,,No failure
4946,14/12/2016 05:30,58,B,L52125,L,,,1418,44.1,,No failure
4947,15/12/2016 05:03,58,C,M19806,M,,,,31.7,120,No failure
4948,18/12/2016 12:15,58,C,L52127,L,,,,53.9,123,No failure
4949,26/02/2017 10:55,58,A,M19808,M,303.8,312.7,1500,,,No failure
4950,01/03/2017 01:36,58,A,M19809,M,303.8,312.7,1555,,,No failure
4951,27/02/2017 14:39,58,A,M19810,M,303.8,312.7,1919,,,No failure
4952,26/02/2017 16:54,58,B,L52131,L,,,1596,36.6,,No failure
4953,26/02/2017 05:55,58,B,M19812,M,,,1374,53.6,,No failure
4954,18/05/2017 14:40,58,B,L52133,L,,,1670,26.1,,No failure
4955,14/05/2017 13:23,58,C,L52134,L,,,,29.1,141,No failure
4956,17/05/2017 05:07,58,A,M19815,M,303.8,312.5,1366,,,No failure
4957,16/05/2017 14:36,58,B,M19816,M,,,2344,15.2,,No failure
4958,17/05/2017 13:45,58,B,M19817,M,,,1768,23.9,,No failure
4959,07/08/2017 11:54,58,A,L52138,L,303.8,312.5,1523,,,No failure
4960,06/08/2017 13:44,58,B,L52139,L,,,1735,25.9,,No failure
4961,17/10/2017 20:39,58,B,L52140,L,,,1339,62.3,,No failure
4962,17/10/2017 15:56,58,B,L52141,L,,,1800,24.3,,No failure
4963,18/10/2017 05:24,58,B,M19822,M,,,1456,51.2,,No failure
4964,20/10/2017 15:10,58,B,L52143,L,,,1789,24.4,,No failure
4965,18/10/2017 20:35,58,B,L52144,L,,,1602,33.9,,No failure
4966,31/12/2017 00:54,58,B,M19825,M,,,1364,49.3,,No failure
4967,01/01/2018 23:13,58,C,L52146,L,,,,28.1,170,No failure
4968,01/01/2018 03:24,58,B,L52147,L,,,1426,53.4,,No failure
4969,03/01/2018 03:40,58,C,M19828,M,,,,43.3,174,No failure
4970,31/12/2017 09:26,58,A,L52149,L,303.9,312.7,1528,,,No failure
4971,12/04/2018 20:47,58,A,L52150,L,303.8,312.6,1565,,,No failure
4972,11/07/2018 22:50,58,B,L52151,L,,,1838,27.8,,No failure
4973,16/07/2018 16:20,58,A,H34386,H,303.8,312.6,1811,,,No failure
4974,16/07/2018 09:30,58,C,L52153,L,,,,38.2,188,No failure
4975,24/10/2018 16:54,58,B,L52154,L,,,1414,41.7,,No failure
4976,24/10/2018 09:15,58,A,L52155,L,303.7,312.7,1426,,,No failure
4977,23/10/2018 23:53,58,C,L52156,L,,,,56.8,194,Overstrain Failure
4978,26/01/2019 22:57,58,B,L52157,L,,,1540,44.8,,No failure
4979,29/01/2019 15:04,58,A,L52158,L,303.6,312.7,1429,,,No failure
4980,24/01/2019 05:54,58,B,M19839,M,,,1612,36.3,,No failure
4981,13/04/2019 23:23,58,A,M19840,M,303.7,312.8,1685,,,No failure
4982,09/04/2019 05:44,58,C,M19841,M,,,,37.7,206,No failure
4983,09/04/2019 09:56,58,B,L52162,L,,,1811,24.3,,No failure
4984,08/04/2019 04:05,58,B,L52163,L,,,1869,25.8,,No failure
4985,12/04/2019 00:15,58,C,L52164,L,,,,58.7,213,Overstrain Failure
4986,01/07/2019 01:06,58,C,M19845,M,,,,23.5,215,No failure
4987,23/03/2014 19:43,59,A,L52166,L,303.7,312.9,1502,,,No failure
4988,25/03/2014 06:32,59,B,M19847,M,,,1303,54.4,,No failure
4989,22/03/2014 17:26,59,B,L52168,L,,,2497,13,,Power Failure
4990,25/03/2014 09:16,59,A,L52169,L,303.9,313.2,1499,,,No failure
4991,18/07/2014 04:23,59,A,L52170,L,303.9,313.2,1393,,,No failure
4992,15/10/2014 11:07,59,A,M19851,M,303.9,313,1475,,,No failure
4993,18/10/2014 19:39,59,C,L52172,L,,,,34.6,14,No failure
4994,13/01/2015 19:23,59,A,L52173,L,303.8,312.9,1819,,,No failure
4995,14/01/2015 06:42,59,B,M19854,M,,,1642,29.4,,No failure
4996,15/01/2015 17:14,59,B,L52175,L,,,1540,39.8,,No failure
4997,13/05/2015 00:31,59,B,M19856,M,,,1400,43.2,,No failure
4998,15/05/2015 17:20,59,B,M19857,M,,,2659,11.4,,Power Failure
4999,10/05/2015 11:20,59,A,M19858,M,303.6,312.8,1825,,,No failure
5000,14/05/2015 22:20,59,C,M19859,M,,,,41.3,32,No failure
5001,19/07/2015 02:35,59,A,L52180,L,303.7,312.8,1832,,,No failure
5002,17/07/2015 13:52,59,C,M19861,M,,,,17.6,37,No failure
5003,16/07/2015 03:12,59,A,L52182,L,303.7,312.8,1627,,,No failure
5004,15/07/2015 19:47,59,C,L52183,L,,,,51.3,42,No failure
5005,20/07/2015 17:18,59,C,L52184,L,,,,46.3,44,No failure
5006,02/11/2015 01:37,59,C,M19865,M,,,,52.7,46,No failure
5007,03/11/2015 07:19,59,A,M19866,M,303.7,312.8,1366,,,No failure
5008,04/11/2015 00:00,59,C,L52187,L,,,,48.3,52,No failure
5009,31/10/2015 07:42,59,A,H34422,H,303.7,312.8,1488,,,No failure
5010,29/01/2016 15:44,59,B,L52189,L,,,1523,40.7,,No failure
5011,29/01/2016 00:10,59,C,L52190,L,,,,38.3,61,No failure
5012,31/01/2016 02:26,59,B,M19871,M,,,1634,33.8,,No failure
5013,29/01/2016 11:39,59,C,M19872,M,,,,27.8,66,No failure
5014,08/05/2016 14:05,59,B,M19873,M,,,1594,35.2,,No failure
5015,12/07/2016 19:47,59,B,L52194,L,,,1452,38.6,,No failure
5016,13/07/2016 09:04,59,B,L52195,L,,,1759,28.4,,No failure
5017,12/07/2016 03:47,59,B,L52196,L,,,1408,47.5,,No failure
5018,12/07/2016 10:33,59,A,L52197,L,303.9,313,1483,,,No failure
5019,15/07/2016 21:57,59,A,M19878,M,303.9,313,1620,,,No failure
5020,09/11/2016 06:12,59,B,M19879,M,,,1466,39.5,,No failure
5021,05/03/2017 07:30,59,B,L52200,L,,,1556,36.3,,No failure
5022,03/07/2017 03:18,59,B,L52201,L,,,1350,61.1,,No failure
5023,08/07/2017 11:48,59,A,L52202,L,304,313.1,1404,,,No failure
5024,07/07/2017 13:33,59,A,M19883,M,304,313,1575,,,No failure
5025,24/09/2017 17:18,59,C,L52204,L,,,,29,95,No failure
5026,21/11/2017 21:41,59,B,M19885,M,,,1473,42.8,,No failure
5027,22/11/2017 08:06,59,C,L52206,L,,,,40,100,No failure
5028,02/03/2018 12:21,59,A,L52207,L,304,313.3,1294,,,No failure
5029,07/03/2018 00:39,59,A,M19888,M,303.9,313.2,1630,,,No failure
5030,25/05/2018 04:17,59,A,M19889,M,303.9,313.2,1624,,,No failure
5031,28/05/2018 11:36,59,C,M19890,M,,,,48.3,110,No failure
5032,26/05/2018 20:50,59,A,M19891,M,303.8,313,1514,,,No failure
5033,16/09/2018 07:08,59,B,M19892,M,,,1694,31.4,,No failure
5034,19/12/2018 13:48,59,C,L52213,L,,,,50.9,119,No failure
5035,23/12/2018 02:59,59,C,M19894,M,,,,41.1,121,No failure
5036,19/12/2018 00:14,59,C,M19895,M,,,,40.6,124,No failure
5037,02/03/2019 14:06,59,C,L52216,L,,,,37.8,127,No failure
5038,28/02/2019 04:03,59,C,M19897,M,,,,41.1,129,No failure
5039,14/06/2019 13:14,59,A,L52218,L,304.1,313.3,1732,,,No failure
5040,26/09/2019 15:05,59,A,H34453,H,304.1,313.3,1689,,,No failure
5041,24/09/2019 17:58,59,A,H34454,H,304.1,313.2,1586,,,No failure
5042,28/09/2019 17:56,59,B,L52221,L,,,1314,47.1,,No failure
5043,30/09/2019 08:40,59,B,L52222,L,,,1569,35.8,,No failure
5044,27/09/2019 04:19,59,A,L52223,L,304.1,313.2,1468,,,No failure
5045,31/12/2019 22:24,59,A,L52224,L,304.1,313.2,1412,,,No failure
5046,01/01/2020 23:11,59,C,M19905,M,,,,46.9,152,No failure
5047,30/12/2019 17:26,59,C,M19906,M,,,,42.4,155,No failure
